noise_fraction,protocol,method,feature,feature_index,score_mean,score_sd
0.0,deterministic,DGSM,x1,0,0.26912021594692676,0.01096490290598098
0.0,deterministic,DGSM,x10,9,0.0010755811645947143,0.0001312101611047705
0.0,deterministic,DGSM,x2,1,0.278832822153932,0.01336914112500518
0.0,deterministic,DGSM,x3,2,0.21160278579292455,0.009031576697638323
0.0,deterministic,DGSM,x4,3,0.18661507135394861,0.0030968631226531095
0.0,deterministic,DGSM,x5,4,0.04729624990503797,0.0009143735728170973
0.0,deterministic,DGSM,x6,5,0.0014551321216125146,0.00014084109706578233
0.0,deterministic,DGSM,x7,6,0.0014374209848972447,0.00012281305274950438
0.0,deterministic,DGSM,x8,7,0.0011896521876855106,9.340717456671351e-05
0.0,deterministic,DGSM,x9,8,0.0013750683884401246,0.00013620108970411696
0.0,deterministic,GAS,x1,0,0.2559279540803145,0.03161441485525994
0.0,deterministic,GAS,x10,9,2.8052085496674138e-05,1.815276634501122e-05
0.0,deterministic,GAS,x2,1,0.2799513356717997,0.03402419722169058
0.0,deterministic,GAS,x3,2,0.16901278969473146,0.008983864736113453
0.0,deterministic,GAS,x4,3,0.23638018339222663,0.010844412512811796
0.0,deterministic,GAS,x5,4,0.05859429513697318,0.0034936852870115537
0.0,deterministic,GAS,x6,5,3.2566905295677296e-05,3.235470214365379e-05
0.0,deterministic,GAS,x7,6,2.0177523314286392e-05,1.7074512211143362e-05
0.0,deterministic,GAS,x8,7,2.1112746875927926e-05,2.0394607564527116e-05
0.0,deterministic,GAS,x9,8,3.1532762971982064e-05,2.5958451681700144e-05
0.0,deterministic,Sobol,x1,0,0.2530659348531883,0.016152983013494566
0.0,deterministic,Sobol,x10,9,0.0010436683223545005,8.107806811227194e-05
0.0,deterministic,Sobol,x2,1,0.25238997165875765,0.013724279670553785
0.0,deterministic,Sobol,x3,2,0.08758905889283768,0.005397640310483601
0.0,deterministic,Sobol,x4,3,0.3201677682251565,0.011436991255654446
0.0,deterministic,Sobol,x5,4,0.0812165435263172,0.004911340294948813
0.0,deterministic,Sobol,x6,5,0.0012690844187888952,0.00015271561423831545
0.0,deterministic,Sobol,x7,6,0.0012027184000333237,0.00010042886185888989
0.0,deterministic,Sobol,x8,7,0.0009765174389264145,7.781818427996705e-05
0.0,deterministic,Sobol,x9,8,0.001078734263639512,0.00010118934334769966
0.05,CRN,DGSM,x1,0,0.2681575813455681,0.013139298855710767
0.05,CRN,DGSM,x10,9,0.001018495197101374,8.711714056543815e-05
0.05,CRN,DGSM,x2,1,0.2798793657095045,0.01594379527839991
0.05,CRN,DGSM,x3,2,0.2083530371560255,0.009974628756277592
0.05,CRN,DGSM,x4,3,0.1884830096305373,0.005437924036569851
0.05,CRN,DGSM,x5,4,0.04851448228051337,0.0015436793059233848
0.05,CRN,DGSM,x6,5,0.0015129469466049624,0.0001555686728479721
0.05,CRN,DGSM,x7,6,0.0015872943539011837,0.00018850220393606425
0.05,CRN,DGSM,x8,7,0.0011916183782954767,0.00015448352382694294
0.05,CRN,DGSM,x9,8,0.0013021690019482072,0.00015246034939239752
0.05,CRN,GAS,x1,0,0.2658306006667509,0.03017797779225627
0.05,CRN,GAS,x10,9,2.979144477827272e-05,1.978636909749312e-05
0.05,CRN,GAS,x2,1,0.2679195541615553,0.023027506994607143
0.05,CRN,GAS,x3,2,0.1632827722131399,0.009157713485793887
0.05,CRN,GAS,x4,3,0.2419630797787398,0.00984400769462167
0.05,CRN,GAS,x5,4,0.060827335278675516,0.00276371936071949
0.05,CRN,GAS,x6,5,4.28369538339447e-05,3.356093734771626e-05
0.05,CRN,GAS,x7,6,3.468498879515785e-05,2.7073807703726398e-05
0.05,CRN,GAS,x8,7,3.3479138787961574e-05,3.264804311102176e-05
0.05,CRN,GAS,x9,8,3.5865374943252786e-05,2.059640908057245e-05
0.05,CRN,Sobol,x1,0,0.25318142432822294,0.011313417814695484
0.05,CRN,Sobol,x10,9,0.0010476215562507214,0.00012371291002774578
0.05,CRN,Sobol,x2,1,0.25003717782453533,0.013498306699437747
0.05,CRN,Sobol,x3,2,0.08694012073945719,0.0021747656134172215
0.05,CRN,Sobol,x4,3,0.32454483824190034,0.0102886062555898
0.05,CRN,Sobol,x5,4,0.07979088422280768,0.004931708859235114
0.05,CRN,Sobol,x6,5,0.0012199429236152992,0.00011588556523860998
0.05,CRN,Sobol,x7,6,0.0011866485441615166,0.00014034538506001878
0.05,CRN,Sobol,x8,7,0.0009997089031333728,0.00010058476263615195
0.05,CRN,Sobol,x9,8,0.0010516327159155888,0.00016662794108171966
0.05,independent,DGSM,x1,0,0.17071498718501776,0.008004224422010422
0.05,independent,DGSM,x10,9,0.058499114213422576,0.004677451843061243
0.05,independent,DGSM,x2,1,0.17222319491266222,0.013952597771623868
0.05,independent,DGSM,x3,2,0.14330585173522786,0.00993119756354819
0.05,independent,DGSM,x4,3,0.13255509795010934,0.01123079683667689
0.05,independent,DGSM,x5,4,0.07996449961437528,0.006411024119866799
0.05,independent,DGSM,x6,5,0.05957781707649714,0.00405348974288758
0.05,independent,DGSM,x7,6,0.05927268045040513,0.00520735123711192
0.05,independent,DGSM,x8,7,0.0631967043947562,0.005361105849864112
0.05,independent,DGSM,x9,8,0.06069005246752655,0.006452423630588401
0.05,independent,GAS,x1,0,0.16413581342164416,0.04500168708976225
0.05,independent,GAS,x10,9,0.0974644002826739,0.13280655570016858
0.05,independent,GAS,x2,1,0.166087301950935,0.05021317428205672
0.05,independent,GAS,x3,2,0.15070729898858518,0.1162612661298683
0.05,independent,GAS,x4,3,0.15684283115755238,0.045026007718541844
0.05,independent,GAS,x5,4,0.06379539528380121,0.03931017535674309
0.05,independent,GAS,x6,5,0.06681950594500392,0.06760630218556257
0.05,independent,GAS,x7,6,0.03458382264446445,0.0454761020780556
0.05,independent,GAS,x8,7,0.04170384586298165,0.04191945896690333
0.05,independent,GAS,x9,8,0.05785978446235817,0.05656461716965244
0.05,independent,Sobol,x1,0,0.2460429194366364,0.011821719553175188
0.05,independent,Sobol,x10,9,0.00339687252298449,0.00020523616578589952
0.05,independent,Sobol,x2,1,0.24170844370167377,0.01366323221547505
0.05,independent,Sobol,x3,2,0.08717550322604034,0.0033445428597942374
0.05,independent,Sobol,x4,3,0.3258245769312173,0.017496172761410096
0.05,independent,Sobol,x5,4,0.08223770448474967,0.005900575265458777
0.05,independent,Sobol,x6,5,0.0035775559107418895,0.00035513007847456636
0.05,independent,Sobol,x7,6,0.0034540005313720376,0.00022818450427045345
0.05,independent,Sobol,x8,7,0.0032495250314461756,0.00031718319285971525
0.05,independent,Sobol,x9,8,0.003332898223137951,0.0002551481208442083
0.15,CRN,DGSM,x1,0,0.2668055195701213,0.013468153290037484
0.15,CRN,DGSM,x10,9,0.0010352847432279029,0.00010136770613703487
0.15,CRN,DGSM,x2,1,0.2819850118380591,0.01577364290762616
0.15,CRN,DGSM,x3,2,0.20645221675052058,0.0107050042513673
0.15,CRN,DGSM,x4,3,0.18932018897905348,0.006322002041956016
0.15,CRN,DGSM,x5,4,0.04883853812020796,0.0018881744692288485
0.15,CRN,DGSM,x6,5,0.0014957279465521716,0.00015491770777288503
0.15,CRN,DGSM,x7,6,0.0015509690619847306,0.00014961752610569476
0.15,CRN,DGSM,x8,7,0.0011936890059530943,0.0001535701872778202
0.15,CRN,DGSM,x9,8,0.0013228539843196975,0.00018415458019803614
0.15,CRN,GAS,x1,0,0.2673623659032947,0.02989542765498462
0.15,CRN,GAS,x10,9,3.468675461432465e-05,2.321794737672783e-05
0.15,CRN,GAS,x2,1,0.2681915254266957,0.023020077513692946
0.15,CRN,GAS,x3,2,0.16340277692634333,0.009174643375810866
0.15,CRN,GAS,x4,3,0.24050171952709531,0.009388332810575684
0.15,CRN,GAS,x5,4,0.06035685059280627,0.002420576529638902
0.15,CRN,GAS,x6,5,4.235876954473975e-05,3.37793576494797e-05
0.15,CRN,GAS,x7,6,3.485044773044683e-05,2.69413687738686e-05
0.15,CRN,GAS,x8,7,3.393413108685819e-05,3.239824962671948e-05
0.15,CRN,GAS,x9,8,3.89315207882609e-05,2.4303970845599023e-05
0.15,CRN,Sobol,x1,0,0.24969668269352177,0.013706970625593852
