feature,feature_index,trained_mlp_sobol_reference,trained_mlp_gas_reference,trained_mlp_dgsm_reference,true_function_sobol_reference
x1,0,0.24679745285188964,0.26907761344194936,0.27049731562310675,0.251457703499436
x2,1,0.2511889451720539,0.26420924509395993,0.28019176473230517,0.25318298526318794
x3,2,0.08503589254756581,0.15747409693545047,0.2081265667299327,0.08778026849240277
x4,3,0.32874504010897315,0.2475172167745532,0.18658174969160726,0.3253037956697235
x5,4,0.08266403849517265,0.06170979423516036,0.047761754502203664,0.08227524707524955
x6,5,0.0012390859892951506,5.8021741643055485e-06,0.0015312170973585705,0.0
x7,6,0.0012084621547404507,8.305732117748049e-07,0.0015602893649016474,0.0
x8,7,0.001007683865043646,2.6346080945093163e-06,0.0012409091917456128,0.0
x9,8,0.0010276357949505772,1.1377037146399777e-06,0.0014010433052564655,0.0
x10,9,0.0010857630203149695,1.6284597415080213e-06,0.0011073897615821555,0.0
