noise_fraction,protocol,method,kendall_tau_mean,kendall_tau_sd,kendall_tau_relevant_mean,kendall_tau_relevant_sd,l1_mean,l1_sd,top5_recovery_mean,eval_count
0.0,deterministic,DGSM,0.9037037037037038,0.06237595246819886,0.9166666666666666,0.10298573010888741,0.030615165184944563,0.012167968113583623,1.0,5120
0.0,deterministic,GAS,0.7185185185185184,0.10437493209426295,0.7833333333333333,0.1585922922197518,0.0813086013236722,0.05582855827448885,1.0,5184
0.0,deterministic,Sobol,0.8777777777777778,0.06030226891555272,0.8666666666666667,0.13026778945578593,0.045098888152283474,0.01327349174269864,1.0,6144
0.05,CRN,DGSM,0.9296296296296296,0.058283207580066956,0.9333333333333332,0.09847319278346615,0.03646790404460753,0.016979334729783628,1.0,5120
0.05,CRN,GAS,0.7444444444444445,0.11070633340460814,0.8166666666666668,0.180067327475704,0.06330622464275394,0.034821125507153446,1.0,5184
0.05,CRN,Sobol,0.8703703703703703,0.07688277743758366,0.8333333333333334,0.1435481125130547,0.03766507360770677,0.01231356223713924,1.0,6144
0.05,independent,DGSM,0.7407407407407408,0.06237595246819884,0.8833333333333333,0.10298573010888741,0.6531965299878695,0.02095025891621974,0.9833333333333334,5120
0.05,independent,GAS,0.5,0.11853956042166142,0.5,0.28919952219248846,0.6893872975597316,0.19483084722450295,0.7999999999999999,5184
0.05,independent,Sobol,0.8222222222222223,0.0628539361054709,0.8333333333333334,0.07784989441615228,0.05505830262484407,0.014678337459456438,1.0,6144
0.15,CRN,DGSM,0.9185185185185185,0.06519130672205226,0.9333333333333332,0.09847319278346615,0.03927326360509082,0.017953473403924926,1.0,5120
0.15,CRN,GAS,0.7481481481481481,0.11104375062531334,0.85,0.17320508075688773,0.06293312299544725,0.035191529322254604,1.0,5184
0.15,CRN,Sobol,0.862962962962963,0.07688277743758365,0.8333333333333334,0.14354811251305466,0.03907694043544316,0.014198887351601625,1.0,6144
0.15,independent,DGSM,0.46296296296296297,0.15215130201734806,0.3666666666666667,0.3393398225253192,1.0243158857935473,0.02284701895769713,0.7333333333333334,5120
0.15,independent,GAS,0.1259259259259259,0.22127745295427959,0.20000000000000004,0.2696799449852969,1.0790977083991742,0.1797197088807902,0.5333333333333333,5184
0.15,independent,Sobol,0.7555555555555555,0.09755714317292637,0.8166666666666668,0.10298573010888744,0.18977587066571353,0.01693971405662335,1.0,6144
